sample	region	M1	MU1
MEDAL-115_TIS_AdjN2	2:209271855-209271956	423	3114
MEDAL-115_TIS_AdjN2	2:210636241-210636498	682	9430
MEDAL-115_TIS_AdjN2	2:219846968-219847142	143	6258
MEDAL-115_TIS_AdjN2	2:219906103-219906170	20	1521
MEDAL-115_TIS_AdjN2	2:220222843-220223046	698	6173
MEDAL-115_TIS_AdjN2	2:223159721-223159912	1108	5516
MEDAL-115_TIS_AdjN2	2:223163170-223163359	1192	7502
MEDAL-115_TIS_AdjN2	2:223164474-223164607	310	1274
MEDAL-115_TIS_AdjN2	2:223177154-223177408	2452	7662
MEDAL-115_TIS_AdjN2	2:230578058-230578352	1601	9828
MEDAL-115_TIS_AdjN2	2:237077136-237077375	3107	13237
MEDAL-115_TIS_AdjN2	20:983338-983428	1292	10210
MEDAL-115_TIS_AdjN2	20:3052646-3052856	130	6131
MEDAL-115_TIS_AdjN2	20:5891725-5891900	139	2862
MEDAL-115_TIS_AdjN2	20:9496571-9496792	146	7099
MEDAL-115_TIS_AdjN2	20:10198414-10198566	45	923
MEDAL-115_TIS_AdjN2	20:17207208-17207420	26	1160
MEDAL-115_TIS_AdjN2	20:20347628-20347766	280	2851
MEDAL-115_TIS_AdjN2	20:20350476-20350610	251	2658
MEDAL-115_TIS_AdjN2	20:21082100-21082351	1163	8350
MEDAL-115_TIS_AdjN2	20:21377880-21378233	5611	20674
MEDAL-115_TIS_AdjN2	20:21492744-21492879	675	3760
MEDAL-115_TIS_AdjN2	20:21496048-21496090	737	2219
MEDAL-115_TIS_AdjN2	20:21501538-21501669	105	2006
MEDAL-115_TIS_AdjN2	20:21503204-21503326	1179	6287
MEDAL-115_TIS_AdjN2	20:21686195-21686464	622	9762
MEDAL-115_TIS_AdjN2	20:23029132-23029458	451	18997
MEDAL-115_TIS_AdjN2	20:24451079-24451190	192	4515
MEDAL-115_TIS_AdjN2	20:25062385-25062502	583	6226
MEDAL-115_TIS_AdjN2	20:30062886-30063172	81	2643
MEDAL-115_TIS_AdjN2	20:37356039-37356139	825	4767
MEDAL-115_TIS_AdjN2	20:37434994-37435218	74	10057
MEDAL-115_TIS_AdjN2	20:51589858-51590064	207	6858
MEDAL-115_TIS_AdjN2	20:52790247-52790308	57	865
MEDAL-115_TIS_AdjN2	20:55500653-55500826	986	11648
MEDAL-115_TIS_AdjN2	20:56803278-56803529	1584	9064
MEDAL-115_TIS_AdjN2	20:57875313-57875673	813	9174
MEDAL-115_TIS_AdjN2	20:58180187-58180410	265	6808
MEDAL-115_TIS_AdjN2	20:61050625-61050731	75	2418
MEDAL-115_TIS_AdjN2	20:61051418-61051600	548	7515
MEDAL-115_TIS_AdjN2	20:61638138-61638315	916	9094
MEDAL-115_TIS_AdjN2	20:61809906-61810098	202	9122
MEDAL-115_TIS_AdjN2	20:62103386-62103573	96	12263
MEDAL-115_TIS_AdjN2	21:27011336-27011529	59	6270
MEDAL-115_TIS_AdjN2	21:27012510-27012528	5	526
MEDAL-115_TIS_AdjN2	21:28339297-28339493	173	6528
MEDAL-115_TIS_AdjN2	21:40984653-40984899	191	6339
MEDAL-115_TIS_AdjN2	22:19157105-19157245	201	17326
MEDAL-115_TIS_AdjN2	22:25678116-25678340	576	7722
MEDAL-115_TIS_AdjN2	22:28838482-28838637	67	3731
MEDAL-115_TIS_AdjN2	22:29876258-29876377	1182	7794
MEDAL-115_TIS_AdjN2	22:37808862-37809013	1099	2061
MEDAL-115_TIS_AdjN2	22:45404996-45405233	180	6283
MEDAL-115_TIS_AdjN2	22:46263003-46263191	1289	13806
MEDAL-115_TIS_AdjN2	22:48970898-48971226	230	14083
MEDAL-115_TIS_AdjN2	3:2141646-2141844	526	6558
MEDAL-115_TIS_AdjN2	3:6902772-6902862	204	914
MEDAL-115_TIS_AdjN2	3:12045330-12045578	564	2776
MEDAL-115_TIS_AdjN2	3:18467579-18467773	126	6378
MEDAL-115_TIS_AdjN2	3:27772487-27772806	228	1555
MEDAL-115_TIS_AdjN2	3:28617354-28617479	39	1497
MEDAL-115_TIS_AdjN2	3:32859094-32859273	62	2408
MEDAL-115_TIS_AdjN2	3:48699492-48699541	634	1217
MEDAL-115_TIS_AdjN2	3:61550472-61550554	211	2085
MEDAL-115_TIS_AdjN2	3:68057073-68057137	661	3014
MEDAL-115_TIS_AdjN2	3:68980997-68981178	130	2514
MEDAL-115_TIS_AdjN2	3:69590899-69591103	195	7723
MEDAL-115_TIS_AdjN2	3:73674176-73674313	97	3289
MEDAL-115_TIS_AdjN2	3:121903090-121903256	130	3257
MEDAL-115_TIS_AdjN2	3:129693892-129694063	53	1398
MEDAL-115_TIS_AdjN2	3:137487036-137487133	431	3216
MEDAL-115_TIS_AdjN2	3:137489597-137489728	128	3144
MEDAL-115_TIS_AdjN2	3:139653426-139653467	302	1520
MEDAL-115_TIS_AdjN2	3:140770385-140771032	504	28115
MEDAL-115_TIS_AdjN2	3:147087195-147087332	866	4298
MEDAL-115_TIS_AdjN2	3:147106171-147106378	300	2046
MEDAL-115_TIS_AdjN2	3:148415566-148415793	787	6713
MEDAL-115_TIS_AdjN2	3:157260908-157261194	194	6392
MEDAL-115_TIS_AdjN2	3:157821797-157821934	528	2169
MEDAL-115_TIS_AdjN2	3:157824097-157824194	284	659
MEDAL-115_TIS_AdjN2	3:164914991-164915127	223	2924
MEDAL-115_TIS_AdjN2	3:170137565-170137720	446	4847
MEDAL-115_TIS_AdjN2	3:172166368-172166379	19	281
MEDAL-115_TIS_AdjN2	3:172167637-172167710	765	4493
MEDAL-115_TIS_AdjN2	3:173114379-173114579	132	3088
MEDAL-115_TIS_AdjN2	3:179755068-179755312	406	2747
MEDAL-115_TIS_AdjN2	3:181437140-181437341	1544	8974
MEDAL-115_TIS_AdjN2	3:183145779-183145855	38	846
MEDAL-115_TIS_AdjN2	3:186490222-186490308	155	1546
MEDAL-115_TIS_AdjN2	4:1396624-1396768	263	1769
MEDAL-115_TIS_AdjN2	4:4389510-4389674	109	2262
MEDAL-115_TIS_AdjN2	4:5053332-5053510	123	6981
MEDAL-115_TIS_AdjN2	4:7657504-7657656	2707	4126
MEDAL-115_TIS_AdjN2	4:20254887-20254957	84	1150
MEDAL-115_TIS_AdjN2	4:20256185-20256315	155	2504
MEDAL-115_TIS_AdjN2	4:30723122-30723232	141	3442
MEDAL-115_TIS_AdjN2	4:37978568-37978629	99	367
MEDAL-115_TIS_AdjN2	4:46391689-46391809	80	2722
MEDAL-115_TIS_AdjN2	4:54975886-54976067	685	5631
MEDAL-115_TIS_AdjN2	4:55100098-55100336	919	10914
MEDAL-115_TIS_AdjN2	4:57522078-57522267	1407	4303
MEDAL-115_TIS_AdjN2	4:81106174-81106318	306	2478
MEDAL-115_TIS_AdjN2	4:81186714-81187017	562	15247
MEDAL-115_TIS_AdjN2	4:81189604-81189657	28	623
MEDAL-115_TIS_AdjN2	4:81189812-81189836	54	513
MEDAL-115_TIS_AdjN2	4:85422925-85423004	861	2563
MEDAL-115_TIS_AdjN2	4:90758638-90758729	14	1131
MEDAL-115_TIS_AdjN2	4:96470119-96470384	84	6903
MEDAL-115_TIS_AdjN2	4:107956780-107956943	77	1211
MEDAL-115_TIS_AdjN2	4:107958404-107958609	529	12101
MEDAL-115_TIS_AdjN2	4:110224063-110224294	181	5539
MEDAL-115_TIS_AdjN2	4:113444177-113444440	1864	13695
MEDAL-115_TIS_AdjN2	4:122078036-122078113	26	273
MEDAL-115_TIS_AdjN2	4:122686285-122686711	535	12628
MEDAL-115_TIS_AdjN2	4:126237320-126237553	125	6267
MEDAL-115_TIS_AdjN2	4:134068673-134068913	428	9722
MEDAL-115_TIS_AdjN2	4:134069665-134069827	81	3907
MEDAL-115_TIS_AdjN2	4:142053498-142053872	517	26908
MEDAL-115_TIS_AdjN2	4:144621729-144621866	91	4911
MEDAL-115_TIS_AdjN2	4:148402400-148402556	155	3794
MEDAL-115_TIS_AdjN2	4:154710059-154710906	4510	24583
MEDAL-115_TIS_AdjN2	4:164265652-164265923	86	1454
MEDAL-115_TIS_AdjN2	4:166794111-166794212	41	721
MEDAL-115_TIS_AdjN2	4:172734856-172735012	1466	6636
MEDAL-115_TIS_AdjN2	4:174452128-174452182	143	694
MEDAL-115_TIS_AdjN2	4:177714256-177714397	453	3371
MEDAL-115_TIS_AdjN2	4:184826534-184826692	18	3380
MEDAL-115_TIS_AdjN2	4:185939375-185939832	741	18058
MEDAL-115_TIS_AdjN2	4:185942572-185942841	283	6628
MEDAL-115_TIS_AdjN2	4:188916628-188916881	2210	8159
MEDAL-115_TIS_AdjN2	5:528485-528795	1342	19496
MEDAL-115_TIS_AdjN2	5:1445206-1445741	527	16770
MEDAL-115_TIS_AdjN2	5:1883098-1883385	1496	13993
MEDAL-115_TIS_AdjN2	5:6449114-6449327	332	7244
MEDAL-115_TIS_AdjN2	5:7396874-7397075	396	9676
MEDAL-115_TIS_AdjN2	5:16180211-16180460	1717	21023
MEDAL-115_TIS_AdjN2	5:17219278-17219358	255	1115
MEDAL-115_TIS_AdjN2	5:31194049-31194180	59	623
MEDAL-115_TIS_AdjN2	5:35618238-35618345	155	4925
MEDAL-115_TIS_AdjN2	5:36690254-36690427	728	7024
MEDAL-115_TIS_AdjN2	5:38257578-38257688	25	1667
MEDAL-115_TIS_AdjN2	5:39425369-39425524	54	3863
MEDAL-115_TIS_AdjN2	5:42424490-42424694	175	13264
MEDAL-115_TIS_AdjN2	5:49737439-49737498	40	592
MEDAL-115_TIS_AdjN2	5:50259992-50260210	1618	7899
MEDAL-115_TIS_AdjN2	5:50679895-50679980	88	526
MEDAL-115_TIS_AdjN2	5:72529885-72530014	2823	5939
MEDAL-115_TIS_AdjN2	5:72595631-72595722	1582	7094
MEDAL-115_TIS_AdjN2	5:72715568-72715820	1539	9559
MEDAL-115_TIS_AdjN2	5:72732202-72732285	261	1793
MEDAL-115_TIS_AdjN2	5:75377944-75378194	1910	13963
MEDAL-115_TIS_AdjN2	5:75380667-75380966	523	8339
MEDAL-115_TIS_AdjN2	5:76506934-76507039	45	3071
MEDAL-115_TIS_AdjN2	5:76928689-76928898	1710	6487
MEDAL-115_TIS_AdjN2	5:79330754-79330805	436	748
MEDAL-115_TIS_AdjN2	5:87986539-87986591	239	496
MEDAL-115_TIS_AdjN2	5:113391617-113391796	64	4743
MEDAL-115_TIS_AdjN2	5:115152239-115152419	102	2757
MEDAL-115_TIS_AdjN2	5:128796153-128796339	474	8006
MEDAL-115_TIS_AdjN2	5:136834289-136834498	1987	11318
MEDAL-115_TIS_AdjN2	5:145713602-145713918	435	11177
MEDAL-115_TIS_AdjN2	5:153857817-153857997	43	3052
MEDAL-115_TIS_AdjN2	5:155108744-155108865	53	952
MEDAL-115_TIS_AdjN2	5:157098614-157098718	376	2709
MEDAL-115_TIS_AdjN2	5:166405986-166406083	169	2876
MEDAL-115_TIS_AdjN2	5:168727915-168728345	304	15449
MEDAL-115_TIS_AdjN2	5:170735853-170736027	1895	5174
MEDAL-115_TIS_AdjN2	5:170740500-170740727	1952	6018
MEDAL-115_TIS_AdjN2	5:170743389-170743487	232	3147
MEDAL-115_TIS_AdjN2	5:172671356-172671511	696	10632
MEDAL-115_TIS_AdjN2	5:175298511-175298669	1638	9242
MEDAL-115_TIS_AdjN2	5:176056887-176057034	237	3049
MEDAL-115_TIS_AdjN2	5:178771612-178771787	189	7792
MEDAL-115_TIS_AdjN2	5:180017515-180017638	274	2429
MEDAL-115_TIS_AdjN2	6:393441-393632	122	4401
MEDAL-115_TIS_AdjN2	6:1383460-1383617	60	1305
MEDAL-115_TIS_AdjN2	6:5996557-5996696	65	1174
MEDAL-115_TIS_AdjN2	6:6004293-6004500	2710	10939
MEDAL-115_TIS_AdjN2	6:6007433-6007562	710	3601
MEDAL-115_TIS_AdjN2	6:7728804-7729063	674	9779
MEDAL-115_TIS_AdjN2	6:10415924-10416040	431	1896
MEDAL-115_TIS_AdjN2	6:10887089-10887145	18	1174
MEDAL-115_TIS_AdjN2	6:19836846-19836980	32	512
MEDAL-115_TIS_AdjN2	6:26224008-26224056	422	2012
MEDAL-115_TIS_AdjN2	6:26251652-26251823	27	428
MEDAL-115_TIS_AdjN2	6:27280110-27280294	282	17812
MEDAL-115_TIS_AdjN2	6:27463254-27463423	1033	7370
MEDAL-115_TIS_AdjN2	6:28175785-28175911	589	2064
MEDAL-115_TIS_AdjN2	6:28304035-28304293	42	13374
MEDAL-115_TIS_AdjN2	6:28411358-28411485	49	4277
MEDAL-115_TIS_AdjN2	6:28557199-28557406	31	3596
MEDAL-115_TIS_AdjN2	6:28602849-28603219	2333	24715
MEDAL-115_TIS_AdjN2	6:28626559-28626642	99	1650
MEDAL-115_TIS_AdjN2	6:30449076-30449260	561	11865
MEDAL-115_TIS_AdjN2	6:33161117-33161400	748	5555
MEDAL-115_TIS_AdjN2	6:36808321-36808536	412	8405
MEDAL-115_TIS_AdjN2	6:40567436-40567683	469	3728
MEDAL-115_TIS_AdjN2	6:41339338-41339407	1233	3671
MEDAL-115_TIS_AdjN2	6:41605833-41606109	96	7511
MEDAL-115_TIS_AdjN2	6:41606595-41606746	132	1567
MEDAL-115_TIS_AdjN2	6:46702678-46702857	118	1076
MEDAL-115_TIS_AdjN2	6:69344401-69344641	182	8013
MEDAL-115_TIS_AdjN2	6:73331090-73331244	95	9091
MEDAL-115_TIS_AdjN2	6:80656486-80656601	412	2355
MEDAL-115_TIS_AdjN2	6:84419021-84419250	533	11760
MEDAL-115_TIS_AdjN2	6:87647214-87647418	284	11315
MEDAL-115_TIS_AdjN2	6:99295944-99296243	457	5195
MEDAL-115_TIS_AdjN2	6:100050657-100050818	335	3184
MEDAL-115_TIS_AdjN2	6:100057010-100057268	959	5312
MEDAL-115_TIS_AdjN2	6:100061275-100061454	798	6650
MEDAL-115_TIS_AdjN2	6:100067121-100067176	307	3062
MEDAL-115_TIS_AdjN2	6:100912760-100913044	1601	9747
MEDAL-115_TIS_AdjN2	6:108439981-108440034	79	202
MEDAL-115_TIS_AdjN2	6:108490734-108490923	688	3757
MEDAL-115_TIS_AdjN2	6:118229569-118229816	545	8590
MEDAL-115_TIS_AdjN2	6:127840611-127840761	61	714
MEDAL-115_TIS_AdjN2	6:133563899-133564094	758	2295
MEDAL-115_TIS_AdjN2	6:137310864-137311044	464	5410
MEDAL-115_TIS_AdjN2	6:146864941-146865200	177	10899
MEDAL-115_TIS_AdjN2	6:150286333-150286545	499	5143
MEDAL-115_TIS_AdjN2	6:150311563-150311645	132	2169
MEDAL-115_TIS_AdjN2	6:152958198-152958362	46	4017
MEDAL-115_TIS_AdjN2	6:161352027-161352286	214	6467
MEDAL-115_TIS_AdjN2	6:166421994-166422166	302	4345
MEDAL-115_TIS_AdjN2	6:166422569-166422759	204	3193
MEDAL-115_TIS_AdjN2	6:166580945-166581130	856	14748
MEDAL-115_TIS_AdjN2	6:168226618-168226714	70	1658
MEDAL-115_TIS_AdjN2	6:169654003-169654186	50	2787
MEDAL-115_TIS_AdjN2	7:1443323-1443514	484	6472
MEDAL-115_TIS_AdjN2	7:4998709-4998836	162	6396
MEDAL-115_TIS_AdjN2	7:6654741-6655051	204	7521
MEDAL-115_TIS_AdjN2	7:15726887-15726979	44	561
MEDAL-115_TIS_AdjN2	7:19147091-19147313	696	4448
MEDAL-115_TIS_AdjN2	7:19156916-19157062	106	6116
MEDAL-115_TIS_AdjN2	7:19812474-19812766	223	6417
MEDAL-115_TIS_AdjN2	7:21209333-21209501	508	1725
MEDAL-115_TIS_AdjN2	7:27135338-27135938	6215	40504
MEDAL-115_TIS_AdjN2	7:27196400-27196536	1147	4860
MEDAL-115_TIS_AdjN2	7:27209638-27209796	154	2345
MEDAL-115_TIS_AdjN2	7:27213776-27213899	1238	4475
MEDAL-115_TIS_AdjN2	7:27224157-27224337	425	9285
MEDAL-115_TIS_AdjN2	7:27244526-27244561	1274	2633
MEDAL-115_TIS_AdjN2	7:27282228-27282603	9215	27441
MEDAL-115_TIS_AdjN2	7:30722439-30722498	597	837
MEDAL-115_TIS_AdjN2	7:32339049-32339101	468	1179
MEDAL-115_TIS_AdjN2	7:33943661-33943831	235	5827
MEDAL-115_TIS_AdjN2	7:35293762-35293898	917	14420
MEDAL-115_TIS_AdjN2	7:37487668-37487801	20	3628
MEDAL-115_TIS_AdjN2	7:42267891-42267916	287	1062
MEDAL-115_TIS_AdjN2	7:43152204-43152297	1805	12084
MEDAL-115_TIS_AdjN2	7:43152884-43153398	629	15784
MEDAL-115_TIS_AdjN2	7:49815379-49815532	362	13181
MEDAL-115_TIS_AdjN2	7:54609730-54609947	1274	9790
MEDAL-115_TIS_AdjN2	7:64030284-64030354	87	2483
MEDAL-115_TIS_AdjN2	7:70061026-70061235	622	3872
MEDAL-115_TIS_AdjN2	7:79081403-79081620	17	1019
MEDAL-115_TIS_AdjN2	7:84814641-84814821	95	1424
MEDAL-115_TIS_AdjN2	7:87229984-87230350	717	11068
MEDAL-115_TIS_AdjN2	7:87974820-87974843	14	514
MEDAL-115_TIS_AdjN2	7:88388142-88388397	523	8534
MEDAL-115_TIS_AdjN2	7:89748233-89748469	223	3095
MEDAL-115_TIS_AdjN2	7:96622055-96622210	216	1522
MEDAL-115_TIS_AdjN2	7:96653841-96653985	273	8356
MEDAL-115_TIS_AdjN2	7:98990621-98990785	131	5472
MEDAL-115_TIS_AdjN2	7:100465034-100465220	36	1280
MEDAL-115_TIS_AdjN2	7:113723088-113723332	433	4741
MEDAL-115_TIS_AdjN2	7:119912679-119912880	56	2746
MEDAL-115_TIS_AdjN2	7:120970220-120970406	215	6578
MEDAL-115_TIS_AdjN2	7:121941923-121942179	1074	5433
MEDAL-115_TIS_AdjN2	7:121950451-121950672	117	3081
MEDAL-115_TIS_AdjN2	7:121956841-121957056	1341	8919
MEDAL-115_TIS_AdjN2	7:127260269-127260560	530	7999
MEDAL-115_TIS_AdjN2	7:129423204-129423360	480	1963
MEDAL-115_TIS_AdjN2	7:136555836-136555904	35	1702
MEDAL-115_TIS_AdjN2	7:139208681-139209000	429	8494
MEDAL-115_TIS_AdjN2	7:140771679-140771867	25	1220
MEDAL-115_TIS_AdjN2	7:145813319-145813621	213	8247
MEDAL-115_TIS_AdjN2	7:151107682-151107804	340	3165
MEDAL-115_TIS_AdjN2	7:152622339-152622627	194	4083
MEDAL-115_TIS_AdjN2	7:155164984-155165150	439	6985
MEDAL-115_TIS_AdjN2	7:155166884-155167212	974	11098
MEDAL-115_TIS_AdjN2	7:155170883-155170963	538	4220
MEDAL-115_TIS_AdjN2	7:155246081-155246118	83	1890
MEDAL-115_TIS_AdjN2	7:155252791-155252822	288	1129
MEDAL-115_TIS_AdjN2	7:155259969-155260018	90	538
MEDAL-115_TIS_AdjN2	7:158936555-158936872	2867	13354
MEDAL-115_TIS_AdjN2	8:689179-689274	249	4075
MEDAL-115_TIS_AdjN2	8:10916699-10916811	73	1144
MEDAL-115_TIS_AdjN2	8:23260805-23260951	78	4877
MEDAL-115_TIS_AdjN2	8:23567151-23567271	421	2083
MEDAL-115_TIS_AdjN2	8:23583982-23584148	700	4689
MEDAL-115_TIS_AdjN2	8:25902109-25902406	1431	9426
MEDAL-115_TIS_AdjN2	8:25905314-25905636	1191	7260
MEDAL-115_TIS_AdjN2	8:33457381-33457644	79	2970
MEDAL-115_TIS_AdjN2	8:37551987-37552263	221	7022
MEDAL-115_TIS_AdjN2	8:37823352-37823458	46	1486
MEDAL-115_TIS_AdjN2	8:38965178-38965259	3311	6998
MEDAL-115_TIS_AdjN2	8:41624469-41624640	387	4522
MEDAL-115_TIS_AdjN2	8:49292828-49292926	291	3190
MEDAL-115_TIS_AdjN2	8:50824145-50824250	226	1787
MEDAL-115_TIS_AdjN2	8:55379833-55380155	836	7142
MEDAL-115_TIS_AdjN2	8:57358340-57358477	1624	8624
MEDAL-115_TIS_AdjN2	8:58907650-58907933	85	6509
MEDAL-115_TIS_AdjN2	8:65488910-65489071	680	4809
MEDAL-115_TIS_AdjN2	8:65711196-65711437	112	4422
MEDAL-115_TIS_AdjN2	8:67344838-67345045	63	5615
MEDAL-115_TIS_AdjN2	8:67873338-67873517	1089	6910
MEDAL-115_TIS_AdjN2	8:67874006-67874212	402	6705
MEDAL-115_TIS_AdjN2	8:67875315-67875478	295	3976
MEDAL-115_TIS_AdjN2	8:68864148-68864268	28	1175
MEDAL-115_TIS_AdjN2	8:68865045-68865090	3	453
MEDAL-115_TIS_AdjN2	8:70946886-70946996	591	3775
MEDAL-115_TIS_AdjN2	8:70984359-70984610	765	4708
MEDAL-115_TIS_AdjN2	8:72469341-72469559	1088	9168
MEDAL-115_TIS_AdjN2	8:72755892-72756227	1053	28052
MEDAL-115_TIS_AdjN2	8:72987582-72987803	105	2520
MEDAL-115_TIS_AdjN2	8:77586254-77586332	166	746
MEDAL-115_TIS_AdjN2	8:77593121-77593368	1551	4055
MEDAL-115_TIS_AdjN2	8:77596064-77596211	1155	4429
MEDAL-115_TIS_AdjN2	8:85094899-85095025	317	4127
MEDAL-115_TIS_AdjN2	8:95246471-95246679	444	3444
MEDAL-115_TIS_AdjN2	8:98289974-98290107	163	5006
MEDAL-115_TIS_AdjN2	8:99952421-99952569	247	4997
MEDAL-115_TIS_AdjN2	8:104512684-104512945	114	5787
MEDAL-115_TIS_AdjN2	8:105479074-105479194	444	3318
MEDAL-115_TIS_AdjN2	8:109095394-109095550	89	4776
MEDAL-115_TIS_AdjN2	8:110704012-110704136	91	4704
MEDAL-115_TIS_AdjN2	8:114446942-114447538	1534	19154
MEDAL-115_TIS_AdjN2	8:122651481-122651621	180	4491
MEDAL-115_TIS_AdjN2	8:143533577-143533703	146	3681
MEDAL-115_TIS_AdjN2	8:145106124-145106225	468	1130
MEDAL-115_TIS_AdjN2	9:842767-842957	1245	6412
MEDAL-115_TIS_AdjN2	9:14347796-14347928	227	2425
MEDAL-115_TIS_AdjN2	9:36986294-36986446	350	5565
MEDAL-115_TIS_AdjN2	9:37037878-37037971	209	1431
MEDAL-115_TIS_AdjN2	9:74764325-74764532	631	16911
MEDAL-115_TIS_AdjN2	9:96108592-96108718	144	3056
MEDAL-115_TIS_AdjN2	9:100615182-100615363	242	3684
MEDAL-115_TIS_AdjN2	9:104249383-104249554	123	5883
MEDAL-115_TIS_AdjN2	9:108418643-108418768	238	3332
MEDAL-115_TIS_AdjN2	9:113341776-113341957	248	6877
MEDAL-115_TIS_AdjN2	9:116355880-116355985	932	1474
MEDAL-115_TIS_AdjN2	9:122318725-122318843	448	2455
MEDAL-115_TIS_AdjN2	9:133534873-133534969	1175	4256
MEDAL-115_TIS_AdjN2	9:133535771-133535902	130	3469
MEDAL-115_TIS_AdjN2	9:140051058-140051154	355	2610
MEDAL-115_TIS_AdjN2	1:4716585-4716710	42	1429
MEDAL-115_TIS_AdjN2	1:6514774-6515019	1319	10774
MEDAL-115_TIS_AdjN2	1:13910550-13910919	531	13106
MEDAL-115_TIS_AdjN2	1:14924606-14924718	218	3983
MEDAL-115_TIS_AdjN2	1:18968105-18968124	40	692
MEDAL-115_TIS_AdjN2	1:20669933-20670002	64	811
MEDAL-115_TIS_AdjN2	1:20879799-20879985	345	9837
MEDAL-115_TIS_AdjN2	1:22141073-22141181	657	3058
MEDAL-115_TIS_AdjN2	1:35395371-35395951	404	11195
MEDAL-115_TIS_AdjN2	1:38100639-38100806	390	4361
MEDAL-115_TIS_AdjN2	1:44873110-44873396	1349	12251
MEDAL-115_TIS_AdjN2	1:44884178-44884277	329	5275
MEDAL-115_TIS_AdjN2	1:46913910-46914039	58	3430
MEDAL-115_TIS_AdjN2	1:46956341-46956623	3993	13917
MEDAL-115_TIS_AdjN2	1:47697782-47698200	1713	19202
MEDAL-115_TIS_AdjN2	1:47911290-47911517	169	2566
MEDAL-115_TIS_AdjN2	1:47998994-47999302	2195	4227
MEDAL-115_TIS_AdjN2	1:50889053-50889278	693	11218
MEDAL-115_TIS_AdjN2	1:50892985-50893136	1596	5898
MEDAL-115_TIS_AdjN2	1:57888791-57889196	537	12717
MEDAL-115_TIS_AdjN2	1:63785932-63786245	3635	11602
MEDAL-115_TIS_AdjN2	1:63792740-63792869	261	2610
MEDAL-115_TIS_AdjN2	1:65731348-65731606	802	12718
MEDAL-115_TIS_AdjN2	1:66257990-66258202	404	4416
MEDAL-115_TIS_AdjN2	1:67217999-67218255	749	6197
MEDAL-115_TIS_AdjN2	1:70035323-70035619	401	3828
MEDAL-115_TIS_AdjN2	1:76082534-76082623	26	191
MEDAL-115_TIS_AdjN2	1:86621413-86621563	32	1463
MEDAL-115_TIS_AdjN2	1:86622377-86622825	849	11356
MEDAL-115_TIS_AdjN2	1:91176377-91176562	272	5093
MEDAL-115_TIS_AdjN2	1:91183439-91183598	2875	13206
MEDAL-115_TIS_AdjN2	1:91184901-91185174	321	927
MEDAL-115_TIS_AdjN2	1:91195043-91195086	214	850
MEDAL-115_TIS_AdjN2	1:92952029-92952274	219	7935
MEDAL-115_TIS_AdjN2	1:98511624-98511914	265	5750
MEDAL-115_TIS_AdjN2	1:99470036-99470165	331	2808
MEDAL-115_TIS_AdjN2	1:101702441-101702584	112	3589
MEDAL-115_TIS_AdjN2	1:107682712-107682824	43	2306
MEDAL-115_TIS_AdjN2	1:108506638-108506755	52	1464
MEDAL-115_TIS_AdjN2	1:108508177-108508380	185	5164
MEDAL-115_TIS_AdjN2	1:110611648-110611864	1517	5946
MEDAL-115_TIS_AdjN2	1:110672907-110673279	430	7502
MEDAL-115_TIS_AdjN2	1:119527216-119527366	134	1862
MEDAL-115_TIS_AdjN2	1:119530438-119530619	1148	8106
MEDAL-115_TIS_AdjN2	1:119543177-119543301	242	2046
MEDAL-115_TIS_AdjN2	1:147752649-147752829	76	3009
MEDAL-115_TIS_AdjN2	1:151693949-151694365	344	17911
MEDAL-115_TIS_AdjN2	1:152488088-152488319	420	7861
MEDAL-115_TIS_AdjN2	1:155830101-155830270	118	4325
MEDAL-115_TIS_AdjN2	1:156405928-156406008	971	4034
MEDAL-115_TIS_AdjN2	1:159141855-159141985	371	7331
MEDAL-115_TIS_AdjN2	1:165205055-165205156	7	475
MEDAL-115_TIS_AdjN2	1:165323763-165323816	24	1111
MEDAL-115_TIS_AdjN2	1:166134508-166134872	328	19937
MEDAL-115_TIS_AdjN2	1:166853521-166853739	640	14427
MEDAL-115_TIS_AdjN2	1:169396486-169396985	1562	10805
MEDAL-115_TIS_AdjN2	1:180204294-180204391	321	1897
MEDAL-115_TIS_AdjN2	1:184005955-184006087	61	8903
MEDAL-115_TIS_AdjN2	1:190444730-190444831	201	2630
MEDAL-115_TIS_AdjN2	1:196577704-196577811	21	1227
MEDAL-115_TIS_AdjN2	1:197888842-197889055	1108	3205
MEDAL-115_TIS_AdjN2	1:200011679-200011859	376	2435
MEDAL-115_TIS_AdjN2	1:202679106-202679250	36	2660
MEDAL-115_TIS_AdjN2	1:204797457-204797738	479	5331
MEDAL-115_TIS_AdjN2	1:205425297-205425416	21	1012
MEDAL-115_TIS_AdjN2	1:212874148-212874204	6	640
MEDAL-115_TIS_AdjN2	1:214360788-214360913	246	3261
MEDAL-115_TIS_AdjN2	1:218337634-218337828	95	4378
MEDAL-115_TIS_AdjN2	1:220101532-220101734	586	12919
MEDAL-115_TIS_AdjN2	1:224804221-224804344	35	2449
MEDAL-115_TIS_AdjN2	1:228645151-228645563	1379	40020
MEDAL-115_TIS_AdjN2	1:229542939-229543131	650	9416
MEDAL-115_TIS_AdjN2	1:234348631-234348642	17	238
MEDAL-115_TIS_AdjN2	1:237206031-237206167	103	2019
MEDAL-115_TIS_AdjN2	1:240161244-240161422	2023	6461
MEDAL-115_TIS_AdjN2	1:240255521-240255650	48	1431
MEDAL-115_TIS_AdjN2	10:1779755-1780158	484	21190
